TimeStamp,T_Return (C),T_Return_SP (C),T_Supply (C),T_Outdoor (C),T_Outdoor_SP (C),T_Indoor (C),T_Indoor_SP (C),Outdoor Unit Power (W),Indoor Unit Power (W),Evaporator Airflow Rate (CFM),Cooling Capacity (kW),T_SP_Thermostat (C),T_Indoor_Thermostat (C)
2024-03-11 15:56:37,23.4925,23.207,24.222,46.0899,46.1081,23.0273,23.2037,1.85779,493.806,1715.43,0.0,20.0,23.000000000000004
2024-03-11 15:56:38,23.481,23.2103,24.2073,46.0939,46.1081,23.0356,23.2005,-0.768796,489.866,1714.61,0.0,20.0,23.000000000000004
2024-03-11 15:56:39,23.4862,23.207,24.2202,46.0933,46.1015,23.0307,23.1972,-1.75376,497.746,1714.45,0.0,20.0,23.000000000000004
2024-03-11 15:56:40,23.4857,23.207,24.2081,46.0856,46.1048,23.0343,23.1939,0.544495,490.851,1714.12,0.0,20.0,23.000000000000004
2024-03-11 15:56:41,23.4866,23.207,24.2163,46.0775,46.1015,23.0414,23.2005,-0.440473,488.881,1708.04,0.0,20.0,23.000000000000004
2024-03-11 15:56:42,23.4841,23.207,24.2172,46.0888,46.1081,23.0418,23.1972,-0.11215,489.866,1713.46,0.0,20.0,23.000000000000004
2024-03-11 15:56:43,23.4847,23.2103,24.2085,46.0884,46.1081,23.048,23.207,-1.09712,490.851,1713.3,0.0,20.0,23.000000000000004
2024-03-11 15:56:44,23.4705,23.207,24.2121,46.0911,46.1015,23.0521,23.1939,-0.768796,486.911,1712.8,0.0,20.0,23.000000000000004
2024-03-11 15:56:45,23.4798,23.207,24.2059,46.0927,46.1048,23.0476,23.2037,-0.11215,491.836,1713.46,0.0,20.0,23.000000000000004
2024-03-11 15:56:46,23.4804,23.207,24.2145,46.0838,46.1114,23.0548,23.1972,-0.440473,499.716,1713.63,0.0,20.0,23.000000000000004
2024-03-11 15:56:47,23.4822,23.2727,24.2091,46.0831,46.1015,23.0554,23.2727,-0.768796,488.881,1714.28,0.0,20.0,23.000000000000004
2024-03-11 15:56:48,23.4771,23.2727,24.2185,46.0961,46.1048,23.0476,23.2727,-1.09712,488.881,1715.43,0.0,20.0,23.000000000000004
2024-03-11 15:56:49,23.4764,23.2661,24.2169,46.085,46.1048,23.0479,23.2661,-0.440473,488.881,1714.61,0.0,20.0,23.000000000000004
2024-03-11 15:56:50,23.4824,23.2727,24.208,46.0905,46.0555,23.0551,23.2694,-0.768796,486.911,1717.73,0.0,20.0,23.000000000000004
2024-03-11 15:56:51,23.4724,23.2661,24.207,46.0914,46.1048,23.0672,23.276,0.544495,491.836,1717.07,0.0,20.0,23.000000000000004
2024-03-11 15:56:52,23.4749,23.2694,24.2071,46.0854,46.1048,23.0572,23.2727,0.216172,483.956,1717.73,0.0,20.0,23.000000000000004
2024-03-11 15:56:53,23.4891,23.2727,24.2165,46.0834,46.1048,23.0585,23.276,0.216172,494.791,1718.55,0.0,20.0,23.000000000000004
2024-03-11 15:56:54,23.476,23.2727,24.2144,46.089,46.1081,23.0592,23.2694,0.544495,495.776,1723.47,0.0,20.0,23.000000000000004
2024-03-11 15:56:55,23.4674,23.2694,24.1992,46.0914,46.1048,23.0728,23.2727,-0.768796,488.881,1717.56,0.0,20.0,23.000000000000004
2024-03-11 15:56:56,23.4562,23.276,24.1926,46.0923,46.1015,23.0654,23.2661,0.872818,489.866,1716.74,0.0,20.0,23.000000000000004
2024-03-11 15:56:57,23.4718,23.2727,24.2052,46.0786,46.1048,23.0581,23.2727,0.216172,488.881,1715.6,0.0,20.0,23.000000000000004
2024-03-11 15:56:58,23.4703,23.276,24.2038,46.0761,46.1015,23.0614,23.2661,0.544495,488.881,1715.27,0.0,20.0,23.000000000000004
2024-03-11 15:56:59,23.4872,23.2727,24.2183,46.0902,46.1048,23.0734,23.2694,-0.440473,495.776,1715.1,0.0,20.0,23.000000000000004
2024-03-11 15:57:00,23.481,23.2727,24.2101,46.0859,46.1048,23.0698,23.2694,0.544495,488.881,1713.79,0.0,20.0,23.000000000000004
2024-03-11 15:57:01,23.469,23.2727,24.2049,46.1001,46.1081,23.072,23.2694,0.544495,488.881,1707.22,0.0,20.0,23.000000000000004
2024-03-11 15:57:02,23.4739,23.276,24.2032,46.0941,46.1048,23.0769,23.2661,0.216172,486.911,1711.66,0.0,20.0,23.000000000000004
2024-03-11 15:57:03,23.4725,23.2727,24.194,46.0931,46.1015,23.0735,23.2694,1.20114,488.881,1711.16,0.0,20.0,23.000000000000004
2024-03-11 15:57:04,23.4832,23.2727,24.2022,46.0986,46.1015,23.0719,23.2661,0.216172,493.806,1706.07,0.0,20.0,23.000000000000004
2024-03-11 15:57:05,23.4725,23.2727,24.2068,46.0938,46.1081,23.0818,23.2694,0.544495,493.806,1711.0,0.0,20.0,23.000000000000004
2024-03-11 15:57:06,23.4808,23.2694,24.2108,46.0912,46.1048,23.0769,23.2661,-1.09712,495.776,1710.67,0.0,20.0,23.000000000000004
2024-03-11 15:57:07,23.4748,23.276,24.2,46.0887,46.1212,23.0827,23.2694,-1.42544,492.821,1711.98,0.0,20.0,23.000000000000004
2024-03-11 15:57:08,23.4636,23.2727,24.195,46.0944,46.1048,23.0837,23.2629,0.544495,490.851,1712.8,0.0,20.0,23.000000000000004
2024-03-11 15:57:09,23.4723,23.2727,24.1974,46.0986,46.1081,23.0784,23.2661,-1.42544,487.896,1720.52,0.0,20.0,23.000000000000004
2024-03-11 15:57:10,23.4812,23.2596,24.1967,46.0945,46.1081,23.0885,23.2694,-1.42544,494.791,1713.63,0.0,20.0,23.000000000000004
