TimeStamp,T_Return (C),T_Return_SP (C),T_Supply (C),T_Outdoor (C),T_Outdoor_SP (C),T_Indoor (C),T_Indoor_SP (C),Outdoor Unit Power (W),Indoor Unit Power (W),Evaporator Airflow Rate (CFM),Cooling Capacity (kW),T_SP_Thermostat (C),T_Indoor_Thermostat (C)
2024-03-09 13:55:00,23.7615,24.2384,24.5595,23.935,23.8968,24.126,24.2319,0.216172,485.926,1736.94,0.0,22.22222222222222,24.266666666666666
2024-03-09 13:55:01,23.7608,24.2351,24.5617,23.9344,23.8902,24.1076,24.2351,-0.768796,494.791,1737.92,0.0,22.22222222222222,24.266296296296296
2024-03-09 13:55:02,23.7747,24.2384,24.5628,23.9185,23.8935,24.114,24.2351,-0.11215,492.821,1737.76,0.0,22.22222222222222,24.265925925925924
2024-03-09 13:55:03,23.7564,24.2319,24.5512,23.9088,23.8968,24.1088,24.2319,1.20114,501.685,1737.59,0.0,22.22222222222222,24.265555555555554
2024-03-09 13:55:04,23.7538,24.2417,24.5578,23.9052,23.887,24.1189,24.2319,-1.09712,492.821,1738.25,0.0,22.22222222222222,24.265185185185185
2024-03-09 13:55:05,23.7528,24.2319,24.5489,23.906,23.9001,24.1059,24.2384,-2.73873,494.791,1733.32,0.0,22.22222222222222,24.264814814814812
2024-03-09 13:55:06,23.7481,24.2319,24.5511,23.8999,23.8935,24.1107,24.2319,-7.9919,496.761,1739.07,0.0,22.22222222222222,24.264444444444443
2024-03-09 13:55:07,23.7501,24.2351,24.5536,23.8835,23.8968,24.1201,24.2319,-0.11215,492.821,1739.56,0.0,22.22222222222222,24.264074074074074
2024-03-09 13:55:08,23.7505,24.2319,24.5512,23.8838,23.8968,24.1029,24.2351,-1.09712,491.836,1738.74,0.0,22.22222222222222,24.2637037037037
2024-03-09 13:55:09,23.7482,24.2483,24.545,23.879,23.8968,24.1206,24.2286,0.544495,484.941,1738.74,0.0,22.22222222222222,24.263333333333332
2024-03-09 13:55:10,23.7594,24.2351,24.5453,23.8604,23.9001,24.1073,24.2319,-0.768796,485.926,1738.25,0.0,22.22222222222222,24.262962962962963
2024-03-09 13:55:11,23.7594,24.2417,24.5503,23.8618,23.8968,24.1059,24.2319,0.872818,494.791,1737.43,0.0,22.22222222222222,24.262592592592593
2024-03-09 13:55:12,23.7557,24.2351,24.5441,23.8394,23.8968,24.1079,24.2319,-1.42544,489.866,1738.25,0.0,22.22222222222222,24.26222222222222
2024-03-09 13:55:13,23.751,24.2351,24.5501,23.8469,23.8935,24.1034,24.2286,0.544495,495.776,1736.77,0.0,22.22222222222222,24.26185185185185
2024-03-09 13:55:14,23.7422,24.2351,24.5388,23.8271,23.8968,24.1154,24.2351,-1.75376,500.701,1743.83,0.0,22.22222222222222,24.261481481481482
2024-03-09 13:55:15,23.7529,24.2417,24.5412,23.8238,23.8935,24.1001,24.2384,1.20114,496.761,1733.98,0.0,22.22222222222222,24.26111111111111
2024-03-09 13:55:16,23.7446,24.2417,24.5412,23.8133,23.8968,24.1046,24.2384,-1.09712,493.806,1734.47,0.0,22.22222222222222,24.26074074074074
2024-03-09 13:55:17,23.7526,24.2319,24.5421,23.8151,23.8968,24.1046,24.2319,0.872818,494.791,1733.32,0.0,22.22222222222222,24.26037037037037
2024-03-09 13:55:18,23.747,24.2417,24.5427,23.8038,23.9001,24.1043,24.2319,1.20114,487.896,1732.83,0.0,22.22222222222222,24.259999999999998
2024-03-09 13:55:19,23.7416,24.2384,24.5371,23.7841,23.8935,24.1123,24.2286,-1.09712,487.896,1733.16,0.0,22.22222222222222,24.25962962962963
2024-03-09 13:55:20,23.7367,24.2351,24.5322,23.8007,23.8935,24.1022,24.2351,-0.11215,491.836,1732.01,0.0,22.22222222222222,24.25925925925926
2024-03-09 13:55:21,23.7363,24.2351,24.5275,23.7953,23.8968,24.1133,24.2319,0.216172,487.896,1732.83,0.0,22.22222222222222,24.258888888888887
2024-03-09 13:55:22,23.7499,24.2384,24.5334,23.7848,23.9001,24.12,24.2319,-1.75376,494.791,1732.01,0.0,22.22222222222222,24.258518518518517
2024-03-09 13:55:23,23.7518,24.2319,24.5242,23.7693,23.8968,24.0989,24.2286,-1.09712,493.806,1728.4,0.0,22.22222222222222,24.25814814814815
2024-03-09 13:55:24,23.7398,24.2384,24.5252,23.7711,23.8968,24.1062,24.2286,-0.440473,488.881,1733.16,0.0,22.22222222222222,24.257777777777775
2024-03-09 13:55:25,23.753,24.2417,24.5299,23.7663,23.8935,24.1044,24.2319,-0.11215,493.806,1735.46,0.0,22.22222222222222,24.257407407407406
2024-03-09 13:55:26,23.7517,24.2351,24.5344,23.7598,23.8968,24.0984,24.2351,-1.42544,494.791,1735.29,0.0,22.22222222222222,24.257037037037037
2024-03-09 13:55:27,23.7378,24.2384,24.5269,23.7679,23.8968,24.0971,24.2319,-0.768796,498.731,1736.94,0.0,22.22222222222222,24.256666666666664
2024-03-09 13:55:28,23.7432,24.2351,24.521,23.7643,23.8968,24.1083,24.2351,-1.09712,497.746,1736.77,0.0,22.22222222222222,24.256296296296295
2024-03-09 13:55:29,23.751,24.2351,24.5357,23.7641,23.9001,24.1063,24.2319,-1.42544,502.67,1736.77,0.0,22.22222222222222,24.255925925925926
2024-03-09 13:55:30,23.7513,24.2351,24.5175,23.769,23.8968,24.108,24.2351,-1.09712,496.761,1736.61,0.0,22.22222222222222,24.255555555555556
2024-03-09 13:55:31,23.747,24.2351,24.5226,23.7711,23.8968,24.1054,24.2384,-1.75376,495.776,1735.62,0.0,22.22222222222222,24.255185185185184
2024-03-09 13:55:32,23.7386,24.2417,24.521,23.7665,23.8968,24.106,24.2286,-1.09712,494.791,1735.62,0.0,22.22222222222222,24.254814814814814
2024-03-09 13:55:33,23.7541,24.2384,24.5159,23.7811,23.8968,24.1032,24.2417,-2.08209,497.746,1735.95,0.0,22.22222222222222,24.254444444444445
2024-03-09 13:55:34,23.7431,24.2319,24.5203,23.7883,23.9001,24.1141,24.2319,-7.66358,499.716,1735.95,0.0,22.22222222222222,24.254074074074072
2024-03-09 13:55:35,23.7468,24.2319,24.5112,23.7794,23.887,24.1044,24.2483,-1.09712,492.821,1734.97,0.0,22.22222222222222,24.253703703703703
