TimeStamp,T_Return (C),T_Return_SP (C),T_Supply (C),T_Outdoor (C),T_Outdoor_SP (C),T_Indoor (C),T_Indoor_SP (C),Outdoor Unit Power (W),Indoor Unit Power (W),Evaporator Airflow Rate (CFM),Cooling Capacity (kW),T_SP_Thermostat (C),T_Indoor_Thermostat (C)
2024-03-10 09:04:00,25.8838,25.9333,26.3536,34.9671,35.0057,25.6515,25.9432,1.20114,494.791,1729.22,0.0,24.444444444444446,24.511111111111113
2024-03-10 09:04:01,25.8718,25.9333,26.3388,34.9706,35.0123,25.6523,25.9399,0.216172,493.806,1725.28,0.0,24.444444444444446,24.51351851851852
2024-03-10 09:04:02,25.8724,25.9399,26.3462,34.9648,35.0024,25.6426,25.9268,-0.11215,495.776,1733.0,0.0,24.444444444444446,24.515925925925927
2024-03-10 09:04:03,25.8769,25.9366,26.3398,34.9516,35.009,25.6565,25.9399,-0.11215,491.836,1732.83,0.0,24.444444444444446,24.518333333333334
2024-03-10 09:04:04,25.8772,25.9399,26.3439,34.9544,35.009,25.6516,25.9333,0.544495,492.821,1738.41,0.0,24.444444444444446,24.52074074074074
2024-03-10 09:04:05,25.8771,25.9399,26.3605,34.9609,35.0024,25.6468,25.9333,-0.11215,497.746,1733.65,0.0,24.444444444444446,24.52314814814815
2024-03-10 09:04:06,25.8668,25.9399,26.352,34.9569,34.9992,25.6498,25.9399,-0.11215,497.746,1733.16,0.0,24.444444444444446,24.525555555555556
2024-03-10 09:04:07,25.8776,25.9432,26.3488,34.9692,35.0057,25.6456,25.9366,-0.11215,493.806,1732.18,0.0,24.444444444444446,24.527962962962963
2024-03-10 09:04:08,25.875,25.9399,26.3483,34.9576,35.0057,25.661,25.9333,0.216172,488.881,1731.85,0.0,24.444444444444446,24.530370370370374
2024-03-10 09:04:09,25.8839,25.9366,26.3535,34.9732,35.0057,25.6424,25.9399,-0.440473,495.776,1724.79,0.0,24.444444444444446,24.53277777777778
2024-03-10 09:04:10,25.8722,25.9366,26.3526,34.9612,35.009,25.6467,25.9366,-0.768796,500.701,1730.53,0.0,24.444444444444446,24.53518518518519
2024-03-10 09:04:11,25.8787,25.9399,26.365,34.9777,35.0057,25.6414,25.9366,-0.768796,492.821,1732.01,0.0,24.444444444444446,24.537592592592596
2024-03-10 09:04:12,25.8903,25.9399,26.359,34.9676,34.9992,25.6488,25.9366,-0.768796,495.776,1731.19,0.0,24.444444444444446,24.540000000000003
2024-03-10 09:04:13,25.8846,25.9826,26.3661,34.9801,35.0123,25.6549,25.9366,-0.768796,500.701,1734.15,0.0,24.444444444444446,24.54240740740741
2024-03-10 09:04:14,25.8802,25.9498,26.3637,34.97,35.0123,25.6525,25.9399,-1.09712,501.685,1730.04,0.0,24.444444444444446,24.544814814814817
2024-03-10 09:04:15,25.8946,25.953,26.3738,34.9817,35.0123,25.6491,25.9399,-1.09712,496.761,1730.21,0.0,24.444444444444446,24.547222222222224
2024-03-10 09:04:16,25.8793,25.9399,26.3736,34.9768,35.0024,25.6399,25.9301,-1.42544,500.701,1730.7,0.0,24.444444444444446,24.54962962962963
2024-03-10 09:04:17,25.8746,25.9399,26.3678,34.9719,35.009,25.6402,25.9399,-1.42544,495.776,1729.88,0.0,24.444444444444446,24.55203703703704
2024-03-10 09:04:18,25.8842,25.9366,26.3807,34.9767,34.9992,25.6546,25.9432,-1.42544,501.685,1723.8,0.0,24.444444444444446,24.554444444444446
2024-03-10 09:04:19,25.8662,25.9465,26.383,34.9743,35.0057,25.6552,25.9333,-1.09712,498.731,1729.06,0.0,24.444444444444446,24.556851851851853
2024-03-10 09:04:20,25.8757,25.9366,26.3934,34.975,35.009,25.6484,25.9333,-1.42544,500.701,1728.24,0.0,24.444444444444446,24.55925925925926
2024-03-10 09:04:21,25.8785,25.9465,26.3739,34.9871,35.0123,25.6601,25.9366,-1.42544,495.776,1728.07,0.0,24.444444444444446,24.561666666666667
2024-03-10 09:04:22,25.8743,25.9399,26.3854,34.978,35.0024,25.6449,25.9366,-0.440473,500.701,1730.7,0.0,24.444444444444446,24.564074074074075
2024-03-10 09:04:23,25.8668,25.9333,26.3787,34.9849,35.009,25.6446,25.9399,-0.440473,497.746,1730.04,0.0,24.444444444444446,24.566481481481485
2024-03-10 09:04:24,25.8714,25.9432,26.3834,34.986,34.9992,25.653,25.9399,-1.42544,498.731,1737.1,0.0,24.444444444444446,24.568888888888893
2024-03-10 09:04:25,25.8721,25.9399,26.3733,34.9887,35.0024,25.6443,25.9399,-1.09712,499.716,1737.92,0.0,24.444444444444446,24.5712962962963
2024-03-10 09:04:26,25.8672,25.9399,26.3847,34.9858,35.0123,25.6555,25.9366,-1.09712,503.655,1730.7,0.0,24.444444444444446,24.573703703703707
2024-03-10 09:04:27,25.8696,25.9465,26.3873,34.9812,35.0024,25.6505,25.9366,-0.440473,503.655,1731.03,0.0,24.444444444444446,24.576111111111114
2024-03-10 09:04:28,25.8859,25.9399,26.392,34.9837,35.009,25.6526,25.9333,-0.768796,501.685,1730.7,0.0,24.444444444444446,24.57851851851852
2024-03-10 09:04:29,25.8842,25.9399,26.3887,34.9909,35.0057,25.6405,25.9301,-0.768796,499.716,1730.37,0.0,24.444444444444446,24.58092592592593
2024-03-10 09:04:30,25.876,25.9399,26.3803,34.9898,35.0057,25.6515,25.9333,-0.440473,502.67,1730.21,0.0,24.444444444444446,24.583333333333336
2024-03-10 09:04:31,25.8933,25.9366,26.3855,34.9906,34.986,25.6513,25.9333,-0.768796,500.701,1730.7,0.0,24.444444444444446,24.585740740740743
2024-03-10 09:04:32,25.8986,25.9202,26.3933,34.9799,35.009,25.6449,25.9399,-1.75376,499.716,1730.04,0.0,24.444444444444446,24.58814814814815
2024-03-10 09:04:33,25.9095,25.9366,26.3955,34.976,35.009,25.6426,25.9366,-0.768796,501.685,1723.97,0.0,24.444444444444446,24.590555555555557
2024-03-10 09:04:34,25.9021,25.9399,26.3861,34.9846,35.0057,25.642,25.9366,-0.440473,504.64,1730.21,0.0,24.444444444444446,24.592962962962964
2024-03-10 09:04:35,25.9223,25.9333,26.3942,34.9836,35.009,25.6464,25.9366,-0.768796,498.731,1731.35,0.0,24.444444444444446,24.59537037037037
2024-03-10 09:04:36,25.9274,25.9399,26.3925,34.9831,34.9992,25.6402,25.9399,-0.440473,501.685,1732.34,0.0,24.444444444444446,24.59777777777778
2024-03-10 09:04:37,25.9334,25.9432,26.4151,34.9738,35.0057,25.6499,25.9301,-1.09712,498.731,1733.32,0.0,24.444444444444446,24.600185185185186
2024-03-10 09:04:38,25.9224,25.9399,26.3939,34.9761,35.0024,25.654,25.9399,-0.440473,497.746,1734.8,0.0,24.444444444444446,24.602592592592597
2024-03-10 09:04:39,25.9209,25.9333,26.4005,34.9761,35.009,25.6483,25.9399,-0.11215,497.746,1734.31,0.0,24.444444444444446,24.605000000000004
2024-03-10 09:04:40,25.9337,25.9399,26.4056,34.992,35.0057,25.6474,25.9366,-8.97687,496.761,1734.15,0.0,24.444444444444446,24.60740740740741
2024-03-10 09:04:41,25.9314,25.9465,26.412,34.9879,35.0057,25.6419,25.9333,-0.768796,491.836,1734.8,0.0,24.444444444444446,24.60981481481482
2024-03-10 09:04:42,25.9309,25.953,26.4126,34.9767,35.009,25.6396,25.9333,-0.11215,493.806,1728.56,0.0,24.444444444444446,24.612222222222226
2024-03-10 09:04:43,25.9278,25.9268,26.4093,34.9999,35.0057,25.6488,25.9333,-0.11215,494.791,1734.8,0.0,24.444444444444446,24.614629629629633
2024-03-10 09:04:44,25.9267,25.9399,26.4175,34.9798,35.0024,25.6391,25.9399,-0.440473,495.776,1734.64,0.0,24.444444444444446,24.61703703703704
2024-03-10 09:04:45,25.9112,25.9366,26.4004,34.997,35.0024,25.6491,25.9399,-0.768796,494.791,1734.15,0.0,24.444444444444446,24.619444444444447
